('3', '9')
('3', '11')
('9', '11')
('36', '37')
('36', '38')
('36', '39')
('36', '41')
('37', '38')
('37', '39')
('37', '41')
('38', '39')
('38', '41')
('39', '41')
('38', '48')
('39', '48')
('38', '55')
('39', '55')
('48', '55')
('32', '41')
('3', '39')
('3', '48')
('36', '48')
('41', '48')
('39', '89')
('39', '95')
('48', '89')
('48', '95')
('89', '95')
('36', '89')
('38', '89')
('39', '105')
('41', '105')
('38', '110')
('39', '110')
('41', '110')
('39', '117')
('38', '170')
('39', '170')
('48', '170')
('32', '39')
('32', '48')
('32', '38')
('39', '185')
('39', '186')
('185', '186')
('39', '193')
('48', '186')
('48', '193')
('186', '193')
('39', '201')
('39', '208')
('39', '209')
('201', '208')
('201', '209')
('208', '209')
('39', '65')
('65', '193')
('36', '237')
('36', '242')
('38', '237')
('38', '242')
('39', '237')
('39', '242')
('237', '242')
('39', '251')
('48', '65')
('48', '251')
('65', '251')
('39', '255')
('39', '256')
('39', '258')
('48', '242')
('48', '255')
('48', '256')
('48', '258')
('242', '255')
('242', '256')
('242', '258')
('255', '256')
('255', '258')
('256', '258')
('36', '225')
('38', '225')
('39', '225')
('39', '271')
('242', '271')
('48', '237')
('237', '256')
('38', '95')
('38', '105')
('38', '286')
('39', '286')
('48', '105')
('48', '286')
('95', '105')
('95', '286')
('105', '286')
('36', '105')
('36', '310')
('38', '310')
('39', '310')
('105', '310')
('39', '161')
('48', '161')
('48', '334')
('37', '48')
('37', '340')
('38', '340')
('41', '340')
('48', '340')
('48', '359')
('11', '39')
('11', '41')
('11', '48')
('11', '65')
('11', '89')
('11', '381')
('39', '381')
('41', '65')
('41', '89')
('41', '381')
('48', '381')
('65', '89')
('65', '381')
('89', '381')
('32', '201')
('32', '258')
('32', '340')
('201', '258')
('201', '340')
('258', '340')
('48', '420')
('89', '186')
('89', '258')
('89', '340')
('89', '420')
('186', '258')
('186', '340')
('186', '420')
('258', '420')
('340', '420')
('39', '438')
('48', '438')
('65', '438')
('36', '123')
('36', '441')
('38', '123')
('38', '441')
('48', '123')
('48', '441')
('123', '441')
('39', '475')
('48', '475')
('32', '237')
('41', '237')
('105', '110')
('11', '255')
('11', '492')
('39', '492')
('48', '492')
('255', '492')
('32', '170')
('225', '511')
('41', '170')
('41', '225')
('48', '225')
('170', '225')
('310', '521')
('310', '522')
('521', '522')
('48', '310')
('48', '521')
('48', '522')
('38', '258')
('38', '365')
('38', '535')
('48', '365')
('48', '535')
('89', '365')
('89', '535')
('258', '365')
('258', '535')
('365', '535')
('39', '548')
('48', '548')
('39', '550')
('39', '552')
('48', '550')
('48', '552')
('550', '552')
('32', '89')
('32', '255')
('32', '552')
('32', '570')
('39', '570')
('41', '255')
('41', '552')
('41', '570')
('48', '570')
('89', '255')
('89', '552')
('89', '570')
('255', '552')
('255', '570')
('552', '570')
('38', '201')
('170', '201')
('38', '161')
('36', '589')
('38', '589')
('48', '589')
('38', '606')
('39', '606')
('170', '606')
('548', '612')
('41', '475')
('48', '110')
('89', '110')
('38', '255')
('170', '242')
('170', '255')
('36', '271')
('38', '271')
('41', '511')
('39', '664')
('48', '201')
('48', '664')
('201', '664')
('39', '365')
('37', '170')
('37', '715')
('38', '715')
('39', '715')
('41', '715')
('48', '715')
('170', '715')
('9', '39')
('9', '41')
('9', '715')
('209', '242')
('38', '359')
('286', '359')
('39', '420')
('37', '110')
('37', '334')
('37', '778')
('38', '334')
('38', '778')
('110', '334')
('110', '778')
('334', '778')
('11', '225')
('11', '789')
('39', '789')
('41', '789')
('48', '789')
('225', '789')
('39', '441')
('41', '441')
('38', '420')
('41', '420')
('170', '420')
('39', '809')
('41', '809')
('48', '809')
('32', '420')
('39', '824')
('48', '824')
('570', '824')
('36', '492')
('36', '835')
('38', '492')
('38', '835')
('492', '835')
('9', '48')
('9', '809')
('9', '38')
('9', '170')
('237', '855')
('39', '522')
('39', '535')
('39', '859')
('48', '859')
('522', '535')
('522', '859')
('535', '859')
('39', '359')
('110', '161')
('441', '871')
('41', '161')
('255', '441')
('255', '809')
('441', '809')
('32', '209')
('32', '441')
('38', '209')
('41', '209')
('209', '441')
('32', '511')
('48', '511')
('32', '589')
('38', '511')
('39', '511')
('39', '589')
('41', '589')
('170', '511')
('170', '589')
('511', '589')
('39', '956')
('41', '606')
('41', '956')
('606', '956')
('9', '606')
('9', '789')
('48', '606')
('606', '789')
('32', '117')
('32', '185')
('32', '978')
('41', '117')
('41', '185')
('41', '978')
('117', '185')
('117', '340')
('117', '978')
('185', '340')
('185', '978')
('340', '978')
('65', '185')
('65', '535')
('65', '612')
('185', '535')
('185', '612')
('535', '612')
('65', '301')
('110', '237')
('110', '589')
('237', '589')
('359', '365')
('359', '589')
('365', '589')
('32', '186')
('32', '365')
('32', '475')
('32', '548')
('38', '186')
('38', '475')
('38', '548')
('170', '186')
('170', '365')
('170', '475')
('170', '548')
('186', '365')
('186', '475')
('186', '548')
('365', '475')
('365', '548')
('475', '548')
('48', '956')
('38', '208')
('41', '208')
('41', '535')
('105', '208')
('105', '535')
('208', '535')
('32', '612')
('32', '110')
('41', '548')
('110', '548')
('36', '55')
('36', '809')
('36', '956')
('38', '809')
('38', '956')
('41', '55')
('55', '441')
('55', '809')
('55', '956')
('441', '956')
('809', '956')
('36', '255')
('36', '859')
('38', '859')
('255', '859')
('251', '809')
('38', '978')
('39', '978')
('161', '978')
('39', '123')
('39', '1191')
('48', '1191')
('123', '475')
('123', '1191')
('475', '1191')
('65', '201')
('65', '522')
('65', '1198')
('201', '522')
('201', '1198')
('522', '1198')
('38', '1229')
('39', '1229')
('41', '1229')
('48', '1229')
('32', '550')
('32', '789')
('48', '117')
('117', '441')
('117', '475')
('117', '550')
('117', '789')
('441', '475')
('441', '550')
('441', '789')
('475', '550')
('475', '789')
('550', '789')
('48', '208')
('36', '340')
('41', '271')
('48', '271')
('110', '271')
('39', '1327')
('48', '1327')
('123', '237')
('123', '1327')
('237', '475')
('237', '1327')
('475', '1327')
('41', '123')
('41', '1343')
('48', '1343')
('123', '255')
('123', '1343')
('255', '1343')
('123', '789')
('255', '789')
('789', '1343')
('41', '95')
('39', '334')
('522', '824')
('39', '521')
('39', '1435')
('48', '1435')
('95', '208')
('95', '809')
('95', '1435')
('208', '809')
('208', '1435')
('809', '1435')
('41', '824')
('89', '334')
('39', '1465')
('48', '1465')
('32', '301')
('32', '310')
('39', '301')
('41', '301')
('41', '310')
('48', '301')
('301', '310')
('41', '1465')
('36', '381')
('38', '381')
('41', '1191')
('38', '612')
('38', '789')
('48', '612')
('612', '789')
('161', '310')
('9', '65')
('9', '420')
('9', '589')
('9', '778')
('9', '824')
